1001~John Doe~password123~01234567890~10000.000000
1002~Jane Smith~securePass!~01234567891~2000.000000
1003~Alice Johnson~mypassword~01234567892~2500.000000
1004~Bob Brown~password456~01234567893~3000.000000
1005~Carol White~pass@word1~01234567894~3500.000000
1006~David Black~Password789~01234567895~4000.000000
1007~Emma Green~password321~01234567896~4500.000000
1008~Frank Miller~mypassword1~01234567897~5000.000000
1009~Grace Lewis~secret123~01234567898~5500.000000
1010~Hannah Wilson~12345678~01234567899~6000.000000
1011~Ivy Scott~qwertyui~01234567900~6500.000000
1012~Jack Hall~asdfghjk~01234567901~7000.000000
1013~Kara Adams~Pashidf452~01234567902~7500.000000
1014~Liam Clark~password~01234567903~8000.000000
1015~Mia Lewis~password1~01234567904~8500.000000
